CFIPS,YEAR,AGE,COUNTY,MALE,FEMALE,TOTAL
5,2019,60 to 64,Arapahoe,"18,267","20,260","38,528"
5,2019,65 to 69,Arapahoe,"14,419","16,691","31,111"
5,2019,70 to 74,Arapahoe,"10,774","12,663","23,438"
5,2019,75 to 79,Arapahoe,"6,604","8,143","14,746"
5,2019,80 to 84,Arapahoe,"4,146","5,468","9,614"
5,2019,85 to 89,Arapahoe,"2,207","3,443","5,650"
5,2019,90 to 94,Arapahoe,934,"1,952","2,885"
5,2019,95 and over,Arapahoe,304,844,"1,148"
7,2019,0 to 4,Archuleta,321,307,628
7,2019,5 to 9,Archuleta,367,332,699
7,2019,10 to 14,Archuleta,414,368,781
7,2019,15 to 19,Archuleta,361,346,706
7,2019,20 to 24,Archuleta,328,283,612
7,2019,25 to 29,Archuleta,306,290,596
7,2019,30 to 34,Archuleta,287,305,592
7,2019,35 to 39,Archuleta,374,361,737
7,2019,40 to 44,Archuleta,388,389,777
7,2019,45 to 49,Archuleta,378,381,758
7,2019,50 to 54,Archuleta,410,453,863
7,2019,55 to 59,Archuleta,559,611,"1,168"
7,2019,60 to 64,Archuleta,607,654,"1,260"
7,2019,65 to 69,Archuleta,656,693,"1,348"
7,2019,70 to 74,Archuleta,557,558,"1,117"
7,2019,75 to 79,Archuleta,339,321,660
7,2019,80 to 84,Archuleta,183,189,371
7,2019,85 to 89,Archuleta,97,117,214
7,2019,90 to 94,Archuleta,39,47,87
7,2019,95 and over,Archuleta,8,17,25
9,2019,0 to 4,Baca,103,98,201
9,2019,5 to 9,Baca,116,116,232
9,2019,10 to 14,Baca,107,117,226
9,2019,15 to 19,Baca,88,89,178
9,2019,20 to 24,Baca,94,81,175
9,2019,25 to 29,Baca,95,75,171
9,2019,30 to 34,Baca,79,79,158
9,2019,35 to 39,Baca,116,111,226
9,2019,40 to 44,Baca,110,88,196
9,2019,45 to 49,Baca,94,91,186
9,2019,50 to 54,Baca,108,96,203
9,2019,55 to 59,Baca,126,131,257
9,2019,60 to 64,Baca,137,127,264
9,2019,65 to 69,Baca,110,122,232
9,2019,70 to 74,Baca,104,104,209
9,2019,75 to 79,Baca,73,82,154
9,2019,80 to 84,Baca,48,66,115
9,2019,85 to 89,Baca,39,50,89
9,2019,90 to 94,Baca,16,41,58
9,2019,95 and over,Baca,10,21,31
11,2019,0 to 4,Bent,99,94,192
11,2019,5 to 9,Bent,115,114,228
11,2019,10 to 14,Bent,137,131,269
11,2019,15 to 19,Bent,131,115,248
11,2019,20 to 24,Bent,311,98,410
11,2019,25 to 29,Bent,331,106,436
11,2019,30 to 34,Bent,401,120,521
11,2019,35 to 39,Bent,373,117,490
11,2019,40 to 44,Bent,242,115,357
11,2019,45 to 49,Bent,199,122,321
11,2019,50 to 54,Bent,152,96,249
11,2019,55 to 59,Bent,198,125,324
11,2019,60 to 64,Bent,196,127,323
11,2019,65 to 69,Bent,232,167,399
11,2019,70 to 74,Bent,226,154,378
11,2019,75 to 79,Bent,137,126,263
11,2019,80 to 84,Bent,84,90,174
11,2019,85 to 89,Bent,49,86,135
11,2019,90 to 94,Bent,26,29,56
11,2019,95 and over,Bent,6,15,23
13,2019,0 to 4,Boulder,"6,962","6,666","13,626"
13,2019,5 to 9,Boulder,"8,356","7,967","16,323"
13,2019,10 to 14,Boulder,"9,678","9,398","19,076"
13,2019,15 to 19,Boulder,"13,234","12,787","26,023"
13,2019,20 to 24,Boulder,"17,566","15,607","33,173"
13,2019,25 to 29,Boulder,"11,635","10,912","22,549"
13,2019,30 to 34,Boulder,"10,704","9,667","20,370"
13,2019,35 to 39,Boulder,"10,243","9,669","19,912"
13,2019,40 to 44,Boulder,"10,319","10,017","20,336"
13,2019,45 to 49,Boulder,"10,957","10,879","21,836"
13,2019,50 to 54,Boulder,"10,563","10,740","21,303"
13,2019,55 to 59,Boulder,"10,954","11,574","22,527"
13,2019,60 to 64,Boulder,"10,341","10,962","21,303"
13,2019,65 to 69,Boulder,"8,721","9,063","17,786"
13,2019,70 to 74,Boulder,"6,189","6,593","12,783"
13,2019,75 to 79,Boulder,"3,617","4,313","7,931"
13,2019,80 to 84,Boulder,"2,218","2,764","4,979"
13,2019,85 to 89,Boulder,"1,244","1,788","3,032"
13,2019,90 to 94,Boulder,557,"1,057","1,614"
13,2019,95 and over,Boulder,182,501,682
14,2019,0 to 4,Broomfield,"1,847","1,773","3,621"
14,2019,5 to 9,Broomfield,"2,086","1,986","4,072"
14,2019,10 to 14,Broomfield,"2,411","2,396","4,807"
14,2019,15 to 19,Broomfield,"2,414","2,309","4,725"
14,2019,20 to 24,Broomfield,"2,161","2,096","4,256"
14,2019,25 to 29,Broomfield,"3,039","2,823","5,861"
14,2019,30 to 34,Broomfield,"3,082","2,904","5,987"
14,2019,35 to 39,Broomfield,"2,694","2,548","5,240"
14,2019,40 to 44,Broomfield,"2,408","2,494","4,903"
14,2019,45 to 49,Broomfield,"2,497","2,422","4,920"
14,2019,50 to 54,Broomfield,"2,141","2,179","4,317"
14,2019,55 to 59,Broomfield,"2,031","2,144","4,174"
14,2019,60 to 64,Broomfield,"1,812","1,856","3,667"
14,2019,65 to 69,Broomfield,"1,460","1,554","3,014"
14,2019,70 to 74,Broomfield,"1,164","1,368","2,533"
14,2019,75 to 79,Broomfield,898,"1,053","1,951"
14,2019,80 to 84,Broomfield,643,830,"1,472"
14,2019,85 to 89,Broomfield,278,474,751
14,2019,90 to 94,Broomfield,123,242,366
14,2019,95 and over,Broomfield,33,94,126
15,2019,0 to 4,Chaffee,398,382,780
15,2019,5 to 9,Chaffee,480,465,945
15,2019,10 to 14,Chaffee,523,483,"1,004"
15,2019,15 to 19,Chaffee,504,451,955
15,2019,20 to 24,Chaffee,881,391,"1,273"
15,2019,25 to 29,Chaffee,713,463,"1,176"
15,2019,30 to 34,Chaffee,437,473,910
15,2019,35 to 39,Chaffee,778,596,"1,374"
15,2019,40 to 44,Chaffee,626,492,"1,118"
15,2019,45 to 49,Chaffee,636,536,"1,176"
15,2019,50 to 54,Chaffee,666,562,"1,229"
15,2019,55 to 59,Chaffee,758,723,"1,483"
15,2019,60 to 64,Chaffee,747,803,"1,550"
15,2019,65 to 69,Chaffee,811,859,"1,669"
15,2019,70 to 74,Chaffee,647,778,"1,423"
15,2019,75 to 79,Chaffee,518,533,"1,049"
15,2019,80 to 84,Chaffee,307,319,626
15,2019,85 to 89,Chaffee,177,208,385
15,2019,90 to 94,Chaffee,66,111,179
15,2019,95 and over,Chaffee,19,40,60
17,2019,0 to 4,Cheyenne,52,49,100
17,2019,5 to 9,Cheyenne,69,72,141
17,2019,10 to 14,Cheyenne,73,66,139
17,2019,15 to 19,Cheyenne,42,58,100
17,2019,20 to 24,Cheyenne,47,39,86
17,2019,25 to 29,Cheyenne,44,40,83
17,2019,30 to 34,Cheyenne,45,47,92
17,2019,35 to 39,Cheyenne,63,63,126
17,2019,40 to 44,Cheyenne,55,49,103
17,2019,45 to 49,Cheyenne,55,46,101
17,2019,50 to 54,Cheyenne,60,40,101
17,2019,55 to 59,Cheyenne,68,76,144
17,2019,60 to 64,Cheyenne,62,68,130
17,2019,65 to 69,Cheyenne,65,66,130
17,2019,70 to 74,Cheyenne,45,42,87
17,2019,75 to 79,Cheyenne,27,33,59
17,2019,80 to 84,Cheyenne,21,24,45
17,2019,85 to 89,Cheyenne,10,21,32
17,2019,90 to 94,Cheyenne,4,15,19
17,2019,95 and over,Cheyenne,1,7,9
19,2019,0 to 4,Clear Creek,210,201,409
19,2019,5 to 9,Clear Creek,234,228,463
19,2019,10 to 14,Clear Creek,288,267,557
19,2019,15 to 19,Clear Creek,234,240,474
19,2019,20 to 24,Clear Creek,202,207,409
19,2019,25 to 29,Clear Creek,239,207,445
19,2019,30 to 34,Clear Creek,248,204,452
19,2019,35 to 39,Clear Creek,291,250,541
19,2019,40 to 44,Clear Creek,346,306,652
19,2019,45 to 49,Clear Creek,392,355,745
19,2019,50 to 54,Clear Creek,368,368,734
19,2019,55 to 59,Clear Creek,421,424,845
19,2019,60 to 64,Clear Creek,477,465,944
19,2019,65 to 69,Clear Creek,423,402,824
19,2019,70 to 74,Clear Creek,314,277,592
19,2019,75 to 79,Clear Creek,175,151,326
19,2019,80 to 84,Clear Creek,79,93,172
19,2019,85 to 89,Clear Creek,45,58,103
19,2019,90 to 94,Clear Creek,14,25,39
19,2019,95 and over,Clear Creek,3,7,12
21,2019,0 to 4,Conejos,257,247,504
21,2019,5 to 9,Conejos,303,311,614
21,2019,10 to 14,Conejos,336,322,659
21,2019,15 to 19,Conejos,247,281,528
21,2019,20 to 24,Conejos,215,228,444
21,2019,25 to 29,Conejos,227,230,458
21,2019,30 to 34,Conejos,216,193,409
21,2019,35 to 39,Conejos,233,232,465
21,2019,40 to 44,Conejos,226,213,440
21,2019,45 to 49,Conejos,226,212,439
21,2019,50 to 54,Conejos,238,230,468
21,2019,55 to 59,Conejos,260,291,554
21,2019,60 to 64,Conejos,281,256,538
21,2019,65 to 69,Conejos,256,254,512
21,2019,70 to 74,Conejos,188,210,398
21,2019,75 to 79,Conejos,129,144,274
21,2019,80 to 84,Conejos,103,114,216
21,2019,85 to 89,Conejos,66,81,147
21,2019,90 to 94,Conejos,25,39,63
21,2019,95 and over,Conejos,10,24,33
23,2019,0 to 4,Costilla,92,88,179
23,2019,5 to 9,Costilla,103,98,201
23,2019,10 to 14,Costilla,129,102,232
23,2019,15 to 19,Costilla,108,103,210
23,2019,20 to 24,Costilla,95,88,183
23,2019,25 to 29,Costilla,113,97,210
23,2019,30 to 34,Costilla,85,95,179
23,2019,35 to 39,Costilla,100,105,205
23,2019,40 to 44,Costilla,90,89,180
23,2019,45 to 49,Costilla,101,92,194
23,2019,50 to 54,Costilla,122,109,229
23,2019,55 to 59,Costilla,142,129,271
23,2019,60 to 64,Costilla,159,171,328
23,2019,65 to 69,Costilla,141,147,289
23,2019,70 to 74,Costilla,159,129,288
23,2019,75 to 79,Costilla,112,108,220
23,2019,80 to 84,Costilla,72,78,150
23,2019,85 to 89,Costilla,37,38,74
23,2019,90 to 94,Costilla,14,21,35
23,2019,95 and over,Costilla,1,10,13
25,2019,0 to 4,Crowley,92,89,180
25,2019,5 to 9,Crowley,116,118,233
25,2019,10 to 14,Crowley,109,116,225
25,2019,15 to 19,Crowley,113,100,212
25,2019,20 to 24,Crowley,393,113,506
25,2019,25 to 29,Crowley,512,157,669
25,2019,30 to 34,Crowley,494,126,620
25,2019,35 to 39,Crowley,461,120,582
25,2019,40 to 44,Crowley,394,108,501
25,2019,45 to 49,Crowley,418,100,518
25,2019,50 to 54,Crowley,193,99,291
25,2019,55 to 59,Crowley,243,125,365
25,2019,60 to 64,Crowley,148,112,262
25,2019,65 to 69,Crowley,106,115,220
25,2019,70 to 74,Crowley,102,119,220
25,2019,75 to 79,Crowley,93,96,188
25,2019,80 to 84,Crowley,64,49,113
25,2019,85 to 89,Crowley,25,49,76
25,2019,90 to 94,Crowley,13,22,36
25,2019,95 and over,Crowley,4,8,13
27,2019,0 to 4,Custer,86,83,170
27,2019,5 to 9,Custer,92,94,186
27,2019,10 to 14,Custer,109,116,225
27,2019,15 to 19,Custer,126,139,267
27,2019,20 to 24,Custer,128,137,264
27,2019,25 to 29,Custer,125,107,233
27,2019,30 to 34,Custer,108,96,203
27,2019,35 to 39,Custer,144,110,252
27,2019,40 to 44,Custer,134,109,244
27,2019,45 to 49,Custer,147,122,268
27,2019,50 to 54,Custer,130,132,260
27,2019,55 to 59,Custer,186,192,379
27,2019,60 to 64,Custer,218,242,460
27,2019,65 to 69,Custer,253,285,536
27,2019,70 to 74,Custer,245,235,482
27,2019,75 to 79,Custer,174,148,324
27,2019,80 to 84,Custer,91,85,174
27,2019,85 to 89,Custer,41,53,94
27,2019,90 to 94,Custer,12,19,31
27,2019,95 and over,Custer,1,4,7
29,2019,0 to 4,Delta,720,690,"1,411"
29,2019,5 to 9,Delta,823,786,"1,610"
29,2019,10 to 14,Delta,944,936,"1,880"
29,2019,15 to 19,Delta,877,873,"1,751"
29,2019,20 to 24,Delta,839,723,"1,562"
29,2019,25 to 29,Delta,819,669,"1,488"
29,2019,30 to 34,Delta,763,649,"1,412"
29,2019,35 to 39,Delta,894,836,"1,732"
29,2019,40 to 44,Delta,912,845,"1,757"
29,2019,45 to 49,Delta,892,890,"1,781"
29,2019,50 to 54,Delta,900,909,"1,808"
29,2019,55 to 59,Delta,"1,108","1,159","2,267"
29,2019,60 to 64,Delta,"1,197","1,199","2,395"
29,2019,65 to 69,Delta,"1,084","1,201","2,285"
29,2019,70 to 74,Delta,"1,036","1,097","2,134"
29,2019,75 to 79,Delta,781,831,"1,614"
29,2019,80 to 84,Delta,528,607,"1,136"
29,2019,85 to 89,Delta,304,395,698
29,2019,90 to 94,Delta,131,193,324
29,2019,95 and over,Delta,44,88,131
31,2019,0 to 4,Denver,"21,847","20,918","42,766"
31,2019,5 to 9,Denver,"19,971","19,033","39,004"
31,2019,10 to 14,Denver,"18,838","17,649","36,486"
31,2019,15 to 19,Denver,"17,781","17,342","35,124"
31,2019,20 to 24,Denver,"21,902","21,745","43,648"
31,2019,25 to 29,Denver,"38,801","39,089","77,889"
31,2019,30 to 34,Denver,"38,602","39,409","78,010"
31,2019,35 to 39,Denver,"30,807","30,499","61,307"
31,2019,40 to 44,Denver,"28,813","27,479","56,292"
31,2019,45 to 49,Denver,"26,662","23,861","50,522"
31,2019,50 to 54,Denver,"22,215","19,544","41,759"
31,2019,55 to 59,Denver,"20,923","19,732","40,654"
31,2019,60 to 64,Denver,"18,762","19,066","37,829"
31,2019,65 to 69,Denver,"15,159","16,087","31,245"
31,2019,70 to 74,Denver,"10,666","12,080","22,747"
31,2019,75 to 79,Denver,"6,085","7,712","13,797"
31,2019,80 to 84,Denver,"3,707","5,312","9,019"
31,2019,85 to 89,Denver,"2,301","3,731","6,031"
31,2019,90 to 94,Denver,"1,160","2,443","3,602"
31,2019,95 and over,Denver,411,"1,096","1,506"
33,2019,0 to 4,Dolores,37,35,74
33,2019,5 to 9,Dolores,50,53,104
33,2019,10 to 14,Dolores,68,78,144
33,2019,15 to 19,Dolores,60,62,121
33,2019,20 to 24,Dolores,61,43,103
33,2019,25 to 29,Dolores,44,42,84
33,2019,30 to 34,Dolores,50,42,91
33,2019,35 to 39,Dolores,57,63,120
33,2019,40 to 44,Dolores,59,59,118
33,2019,45 to 49,Dolores,65,63,128
33,2019,50 to 54,Dolores,66,64,130
33,2019,55 to 59,Dolores,65,59,123
33,2019,60 to 64,Dolores,68,68,136
33,2019,65 to 69,Dolores,75,71,146
33,2019,70 to 74,Dolores,80,78,157
33,2019,75 to 79,Dolores,61,52,114
33,2019,80 to 84,Dolores,39,34,73
33,2019,85 to 89,Dolores,18,21,39
33,2019,90 to 94,Dolores,8,13,21
33,2019,95 and over,Dolores,1,6,7
35,2019,0 to 4,Douglas,"9,221","8,829","18,049"
35,2019,5 to 9,Douglas,"10,141","9,694","19,835"
35,2019,10 to 14,Douglas,"13,445","12,852","26,296"
35,2019,15 to 19,Douglas,"14,210","13,637","27,848"
35,2019,20 to 24,Douglas,"9,324","9,032","18,356"
35,2019,25 to 29,Douglas,"9,821","9,265","19,086"
35,2019,30 to 34,Douglas,"11,821","12,019","23,839"
35,2019,35 to 39,Douglas,"12,379","13,308","25,686"
35,2019,40 to 44,Douglas,"11,967","13,112","25,078"
35,2019,45 to 49,Douglas,"14,410","14,955","29,364"
35,2019,50 to 54,Douglas,"13,609","14,325","27,933"
35,2019,55 to 59,Douglas,"12,581","13,133","25,713"
35,2019,60 to 64,Douglas,"10,094","10,457","20,551"
35,2019,65 to 69,Douglas,"7,631","8,313","15,944"
35,2019,70 to 74,Douglas,"6,109","6,793","12,902"
35,2019,75 to 79,Douglas,"3,739","3,951","7,690"
35,2019,80 to 84,Douglas,"1,813","2,186","3,998"
35,2019,85 to 89,Douglas,886,"1,192","2,077"
35,2019,90 to 94,Douglas,357,622,979
35,2019,95 and over,Douglas,90,211,302
37,2019,0 to 4,Eagle,"1,494","1,432","2,927"
37,2019,5 to 9,Eagle,"1,540","1,498","3,038"
37,2019,10 to 14,Eagle,"1,707","1,667","3,373"
37,2019,15 to 19,Eagle,"1,733","1,632","3,365"
37,2019,20 to 24,Eagle,"1,690","1,664","3,355"
37,2019,25 to 29,Eagle,"2,479","2,249","4,728"
37,2019,30 to 34,Eagle,"2,717","2,243","4,961"
37,2019,35 to 39,Eagle,"2,419","2,027","4,446"
37,2019,40 to 44,Eagle,"2,041","1,782","3,824"
37,2019,45 to 49,Eagle,"2,248","1,882","4,131"
37,2019,50 to 54,Eagle,"1,956","1,715","3,671"
37,2019,55 to 59,Eagle,"1,660","1,588","3,247"
37,2019,60 to 64,Eagle,"1,663","1,472","3,136"
37,2019,65 to 69,Eagle,"1,418","1,273","2,691"
37,2019,70 to 74,Eagle,"1,117","1,104","2,223"
37,2019,75 to 79,Eagle,598,556,"1,154"
37,2019,80 to 84,Eagle,239,213,455
37,2019,85 to 89,Eagle,106,119,225
37,2019,90 to 94,Eagle,42,46,89
37,2019,95 and over,Eagle,12,21,32
39,2019,0 to 4,Elbert,645,624,"1,269"
39,2019,5 to 9,Elbert,699,684,"1,383"
39,2019,10 to 14,Elbert,823,795,"1,620"
39,2019,15 to 19,Elbert,828,863,"1,691"
39,2019,20 to 24,Elbert,800,758,"1,558"
39,2019,25 to 29,Elbert,853,812,"1,663"
39,2019,30 to 34,Elbert,761,749,"1,508"
39,2019,35 to 39,Elbert,735,734,"1,468"
39,2019,40 to 44,Elbert,708,735,"1,442"
39,2019,45 to 49,Elbert,800,879,"1,677"
39,2019,50 to 54,Elbert,"1,019","1,069","2,087"
39,2019,55 to 59,Elbert,"1,163","1,263","2,424"
39,2019,60 to 64,Elbert,"1,099","1,145","2,244"
39,2019,65 to 69,Elbert,903,975,"1,879"
39,2019,70 to 74,Elbert,695,691,"1,386"
39,2019,75 to 79,Elbert,377,348,727
39,2019,80 to 84,Elbert,190,196,387
39,2019,85 to 89,Elbert,83,95,176
39,2019,90 to 94,Elbert,26,46,72
39,2019,95 and over,Elbert,6,15,21
41,2019,0 to 4,El Paso,"23,706","22,675","46,380"
41,2019,5 to 9,El Paso,"23,938","23,035","46,972"
41,2019,10 to 14,El Paso,"25,741","24,618","50,357"
41,2019,15 to 19,El Paso,"28,886","23,628","52,512"
41,2019,20 to 24,El Paso,"38,314","24,766","63,081"
41,2019,25 to 29,El Paso,"33,967","28,364","62,332"
41,2019,30 to 34,El Paso,"25,000","27,575","52,575"
41,2019,35 to 39,El Paso,"21,948","24,159","46,108"
41,2019,40 to 44,El Paso,"19,099","20,861","39,960"
41,2019,45 to 49,El Paso,"19,123","20,956","40,081"
41,2019,50 to 54,El Paso,"19,792","21,800","41,592"
41,2019,55 to 59,El Paso,"21,907","24,434","46,339"
41,2019,60 to 64,El Paso,"18,177","20,649","38,826"
41,2019,65 to 69,El Paso,"14,625","17,089","31,713"
41,2019,70 to 74,El Paso,"11,893","14,438","26,331"
41,2019,75 to 79,El Paso,"7,381","9,655","17,038"
41,2019,80 to 84,El Paso,"4,266","6,389","10,656"
41,2019,85 to 89,El Paso,"2,414","3,865","6,279"
41,2019,90 to 94,El Paso,858,"1,723","2,584"
41,2019,95 and over,El Paso,201,575,774
43,2019,0 to 4,Fremont,"1,013",972,"1,986"
43,2019,5 to 9,Fremont,"1,035","1,012","2,047"
43,2019,10 to 14,Fremont,"1,197","1,172","2,368"
43,2019,15 to 19,Fremont,"1,113","1,153","2,267"
43,2019,20 to 24,Fremont,"1,982",981,"2,964"
43,2019,25 to 29,Fremont,"2,360","1,018","3,378"
43,2019,30 to 34,Fremont,"2,143","1,062","3,205"
43,2019,35 to 39,Fremont,"2,520","1,087","3,608"
43,2019,40 to 44,Fremont,"2,169",945,"3,116"
43,2019,45 to 49,Fremont,"2,113","1,063","3,177"
43,2019,50 to 54,Fremont,"1,613","1,194","2,809"
43,2019,55 to 59,Fremont,"1,535","1,552","3,087"
43,2019,60 to 64,Fremont,"1,563","1,516","3,078"
43,2019,65 to 69,Fremont,"1,431","1,550","2,983"
43,2019,70 to 74,Fremont,"1,332","1,423","2,756"
43,2019,75 to 79,Fremont,"1,020","1,097","2,115"
43,2019,80 to 84,Fremont,637,725,"1,362"
43,2019,85 to 89,Fremont,360,456,816
43,2019,90 to 94,Fremont,153,253,406
43,2019,95 and over,Fremont,38,83,121
45,2019,0 to 4,Garfield,"1,973","1,886","3,858"
45,2019,5 to 9,Garfield,"1,978","1,862","3,841"
45,2019,10 to 14,Garfield,"2,079","2,001","4,077"
45,2019,15 to 19,Garfield,"2,037","1,888","3,924"
45,2019,20 to 24,Garfield,"1,794","1,602","3,398"
45,2019,25 to 29,Garfield,"2,069","1,875","3,944"
45,2019,30 to 34,Garfield,"2,360","2,104","4,464"
45,2019,35 to 39,Garfield,"2,457","2,302","4,759"
45,2019,40 to 44,Garfield,"2,267","2,186","4,452"
45,2019,45 to 49,Garfield,"2,136","1,951","4,087"
45,2019,50 to 54,Garfield,"1,890","1,819","3,708"
45,2019,55 to 59,Garfield,"1,950","1,884","3,834"
45,2019,60 to 64,Garfield,"1,844","1,797","3,642"
45,2019,65 to 69,Garfield,"1,580","1,571","3,153"
45,2019,70 to 74,Garfield,"1,135","1,078","2,214"
45,2019,75 to 79,Garfield,625,638,"1,262"
45,2019,80 to 84,Garfield,365,417,782
45,2019,85 to 89,Garfield,176,267,442
45,2019,90 to 94,Garfield,88,150,237
45,2019,95 and over,Garfield,20,62,83
47,2019,0 to 4,Gilpin,106,102,210
47,2019,5 to 9,Gilpin,161,149,309
47,2019,10 to 14,Gilpin,191,181,372
47,2019,15 to 19,Gilpin,176,183,360
47,2019,20 to 24,Gilpin,136,126,262
47,2019,25 to 29,Gilpin,135,111,245
47,2019,30 to 34,Gilpin,159,131,290
47,2019,35 to 39,Gilpin,184,181,367
47,2019,40 to 44,Gilpin,233,241,472
47,2019,45 to 49,Gilpin,296,243,540
47,2019,50 to 54,Gilpin,254,239,492
47,2019,55 to 59,Gilpin,332,271,604
47,2019,60 to 64,Gilpin,288,290,580
47,2019,65 to 69,Gilpin,264,253,518
47,2019,70 to 74,Gilpin,172,154,327
47,2019,75 to 79,Gilpin,79,74,154
47,2019,80 to 84,Gilpin,32,33,66
47,2019,85 to 89,Gilpin,16,16,32
47,2019,90 to 94,Gilpin,6,7,14
47,2019,95 and over,Gilpin,0,2,1
49,2019,0 to 4,Grand,338,324,662
49,2019,5 to 9,Grand,378,373,753
49,2019,10 to 14,Grand,476,489,965
49,2019,15 to 19,Grand,490,461,950
49,2019,20 to 24,Grand,393,388,783
49,2019,25 to 29,Grand,406,346,752
49,2019,30 to 34,Grand,557,475,"1,032"
49,2019,35 to 39,Grand,622,517,"1,139"
49,2019,40 to 44,Grand,511,451,962
49,2019,45 to 49,Grand,629,476,"1,105"
49,2019,50 to 54,Grand,545,519,"1,063"
49,2019,55 to 59,Grand,611,625,"1,237"
49,2019,60 to 64,Grand,724,668,"1,392"
49,2019,65 to 69,Grand,628,537,"1,168"
49,2019,70 to 74,Grand,445,366,813
49,2019,75 to 79,Grand,256,217,471
49,2019,80 to 84,Grand,126,102,229
49,2019,85 to 89,Grand,82,74,156
49,2019,90 to 94,Grand,34,34,68
49,2019,95 and over,Grand,6,15,20
51,2019,0 to 4,Gunnison,391,375,766
51,2019,5 to 9,Gunnison,476,457,934
51,2019,10 to 14,Gunnison,529,420,947
51,2019,15 to 19,Gunnison,717,723,"1,440"
51,2019,20 to 24,Gunnison,948,658,"1,607"
51,2019,25 to 29,Gunnison,464,361,827
51,2019,30 to 34,Gunnison,812,622,"1,435"
51,2019,35 to 39,Gunnison,795,643,"1,435"
51,2019,40 to 44,Gunnison,683,589,"1,271"
51,2019,45 to 49,Gunnison,695,579,"1,274"
51,2019,50 to 54,Gunnison,598,485,"1,084"
51,2019,55 to 59,Gunnison,479,549,"1,031"
51,2019,60 to 64,Gunnison,525,482,"1,007"
51,2019,65 to 69,Gunnison,493,463,957
51,2019,70 to 74,Gunnison,356,336,691
51,2019,75 to 79,Gunnison,221,200,421
51,2019,80 to 84,Gunnison,94,100,194
51,2019,85 to 89,Gunnison,44,58,102
51,2019,90 to 94,Gunnison,22,32,55
51,2019,95 and over,Gunnison,5,10,17
53,2019,0 to 4,Hinsdale,9,9,18
53,2019,5 to 9,Hinsdale,22,18,41
53,2019,10 to 14,Hinsdale,25,27,53
53,2019,15 to 19,Hinsdale,24,21,45
53,2019,20 to 24,Hinsdale,20,16,37
53,2019,25 to 29,Hinsdale,17,11,28
53,2019,30 to 34,Hinsdale,28,35,62
53,2019,35 to 39,Hinsdale,22,25,48
53,2019,40 to 44,Hinsdale,23,22,43
53,2019,45 to 49,Hinsdale,14,18,33
